id,name,price,originalPrice,image,rating,review,description,category
1,Nutty Quinoa Salad,$12.84,$57.95,http://dummyimage.com/193x100.png/ff4444/ffffff,3.5,910.7,"A delicious salad with quinoa, nuts, and cranberries.",FLEX
2,Memory Foam Mattress Pad,$72.46,$62.60,http://dummyimage.com/194x100.png/cc0000/ffffff,3.8,979.3,Extra layer of comfort for your mattress.,RLJE
3,Nature Explorer Lens Kit,$32.57,$59.54,http://dummyimage.com/141x100.png/cc0000/ffffff,2.3,856.0,Magical lens kit for kids to explore the outdoors.,CAPR
4,Mediterranean Chickpea Salad,$74.48,$22.20,http://dummyimage.com/250x100.png/ff4444/ffffff,4.2,908.9,"A refreshing salad with chickpeas, cucumber, tomatoes, and a light vinaigrette dressing.",PRTY
5,Aged White Cheddar Popcorn,$3.63,$65.09,http://dummyimage.com/159x100.png/dddddd/000000,2.6,102.5,Light and fluffy popcorn coated in aged white cheddar.,JCOM
6,Coconut Rice,$42.26,$71.53,http://dummyimage.com/107x100.png/5fa2dd/ffffff,4.1,421.4,Fluffy rice cooked with coconut milk for a tropical twist.,MYD
7,Roasted Garlic Mashed Potatoes,$19.62,$71.97,http://dummyimage.com/142x100.png/cc0000/ffffff,3.4,88.6,Creamy mashed potatoes infused with roasted garlic flavor.,USB
8,Travel Jewelry Organizer,$53.86,$98.19,http://dummyimage.com/247x100.png/ff4444/ffffff,2.0,53.0,Compact storage for your jewelry while traveling.,EMF
9,Banana Nut Oatmeal Cups,$57.37,$2.30,http://dummyimage.com/225x100.png/5fa2dd/ffffff,3.2,753.8,"Quick oatmeal cups with banana and nut flavor, great for breakfast.",RS
10,Sports Bottle,$48.91,$9.12,http://dummyimage.com/178x100.png/ff4444/ffffff,3.9,938.5,BPA-free sports bottle with flip-top lid.,MOFG
11,Teriyaki Beef Jerky,$81.86,$12.76,http://dummyimage.com/250x100.png/cc0000/ffffff,2.2,690.7,Savory and chewy beef jerky with teriyaki flavor.,SYY
12,Spicy Garlic Edamame,$18.99,$30.59,http://dummyimage.com/103x100.png/cc0000/ffffff,3.0,433.6,"Steamed edamame tossed in a spicy garlic sauce, great for snacking.",HCI
13,Beef Stroganoff Mix,$88.49,$31.91,http://dummyimage.com/208x100.png/5fa2dd/ffffff,2.4,452.1,Everything you need to create a hearty beef stroganoff.,HESM
14,Stainless Steel Water Pitcher,$18.27,$73.42,http://dummyimage.com/200x100.png/cc0000/ffffff,4.3,852.0,Insulated pitcher to keep beverages cold or hot.,PKI
15,Cheesy Broccoli Soup Mix,$25.89,$99.86,http://dummyimage.com/210x100.png/dddddd/000000,4.2,666.3,Just add water for a hearty cheese and broccoli soup in minutes.,CREG
